                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48309,                0.50235,                 1.0045,                0.99624,                      1,                  0.995,                0.83521,                0.59835,                0.59882,                 1.0235,                0.00307,                0.00307,                0.00307
                     37,                0.53334,                0.55775,                 1.0451,                 0.9962,                      1,                  0.995,                0.86471,                0.57738,                  0.593,                0.98789,               0.002872,               0.002872,               0.002872
                     38,                0.49121,                 0.5322,                0.99975,                0.99656,                      1,                  0.995,                0.90694,                0.43368,                0.52906,                0.90981,               0.002674,               0.002674,               0.002674
                     39,                0.51554,                0.52993,                  1.047,                0.99659,                      1,                  0.995,                0.89291,                0.50046,                   0.52,                0.96057,               0.002476,               0.002476,               0.002476
                     40,                0.46508,                0.48419,                0.98317,                0.99719,                      1,                  0.995,                 0.8934,                0.44553,                0.53228,                0.90923,               0.002278,               0.002278,               0.002278
                     41,                0.46116,                0.48061,                0.98722,                  0.997,                      1,                  0.995,                 0.9055,                0.46621,                0.54677,                0.91751,                0.00208,                0.00208,                0.00208
                     42,                0.45216,                0.46228,                 0.9969,                0.99683,                      1,                  0.995,                0.90731,                0.47828,                0.51392,                0.92611,               0.001882,               0.001882,               0.001882
                     43,                0.45438,                 0.4488,                  1.002,                0.99634,                      1,                  0.995,                0.89883,                0.47669,                0.48732,                0.92931,               0.001684,               0.001684,               0.001684
                     44,                0.39352,                0.44039,                0.97297,                0.99653,                      1,                  0.995,                0.89942,                0.47722,                0.46533,                0.93764,               0.001486,               0.001486,               0.001486
                     45,                0.41875,                0.44024,                0.99651,                0.99652,                      1,                  0.995,                0.91447,                0.45141,                0.45771,                0.91507,               0.001288,               0.001288,               0.001288
                     46,                0.41995,                0.42695,                0.97518,                 0.9966,                      1,                  0.995,                0.93283,                 0.4464,                0.45898,                0.91228,                0.00109,                0.00109,                0.00109
                     47,                 0.4232,                0.43076,                0.97975,                0.99659,                      1,                  0.995,                0.93696,                0.44402,                0.46528,                0.90561,               0.000892,               0.000892,               0.000892
                     48,                0.40128,                0.42537,                0.97973,                0.99659,                      1,                  0.995,                 0.9251,                 0.4431,                0.46814,                0.89802,               0.000694,               0.000694,               0.000694
                     49,                0.41455,                 0.4444,                 0.9879,                0.99668,                      1,                  0.995,                0.91086,                 0.4427,                0.47297,                0.89262,               0.000496,               0.000496,               0.000496
